time,close,MACD_short,MACD_long,MACD,MACD_signal,MACD_sign,DPR,buying_,buying_profit
2021-01-01,32235000.0,32235000.0,32235000.0,0.0,0.0,매도,,False,1.0
2021-01-02,34364000.0,33417777.777777776,33340442.307692308,77335.47008546814,42964.150047482304,매수,1.0660462230494803,False,1.0
2021-01-03,38096000.0,35335081.96721311,35049068.0137999,286013.9534132108,142574.72519737104,매수,1.1086020253753928,True,1.1086020253753928
2021-01-04,36632000.0,35774417.34417344,35491586.623679124,282830.720494315,190086.9187261461,매수,0.9615707685846283,True,0.9615707685846283
2021-01-05,36512000.0,35993831.50880533,35728224.69444385,265606.8143614754,212552.38030257676,매수,0.9967241755841887,True,0.9967241755841887
2021-01-06,38188000.0,36588573.163327254,36220898.0696827,367675.09364455193,254599.2602742718,매수,1.0459027169149868,True,1.0459027169149868
2021-01-07,42700000.0,38135212.257656984,37373172.76121557,762039.4964414164,383018.8467745169,매수,1.118152299151566,True,1.118152299151566
2021-01-08,47449000.0,40373490.597959325,38996638.191513374,1376852.4064459503,621855.7402077942,매수,1.1112177985948477,True,1.1112177985948477
2021-01-09,46718000.0,41839103.74510417,40141113.51810068,1697990.2270034924,870448.1453883193,매수,0.9845939851208666,True,0.9845939851208666
2021-01-10,44404000.0,42413789.39822411,40729350.36325914,1684439.0349649712,1052829.3567597822,매수,0.9504687700672118,True,0.9504687700672118
2021-01-11,37726000.0,41388127.86362163,40339814.86968167,1048312.9939399585,1051841.2023810132,매도,0.8496081434105036,True,0.8496081434105036
2021-01-12,37332000.0,40517041.70595014,39970257.42057233,546784.2853778079,943376.1578779764,매도,0.989556274187563,False,1.0
2021-01-13,38171000.0,40020537.77234854,39759474.73829075,261063.03405778855,798974.9952449708,매도,1.022474016929176,False,1.0
2021-01-14,43381000.0,40723548.977667004,40166215.12410728,557333.853559725,748423.4881121564,매도,1.1364910534175159,False,1.0
2021-01-15,40682000.0,40714936.14502519,40222010.41330675,492925.73171844333,695460.4661621767,매도,0.9377838224107328,False,1.0
2021-01-16,40690000.0,40709804.47227332,40270965.96851755,438838.5037557706,642649.5793678452,매도,1.0001966471658228,False,1.0
2021-01-17,38723000.0,40303289.678448714,40113833.90452873,189455.7739199847,549922.7967602796,매도,0.9516588842467437,False,1.0
2021-01-18,39889000.0,40218911.72467427,40091620.71115495,127291.01351931691,463845.81506126764,매도,1.0301113033597604,False,1.0
2021-01-19,40329000.0,40241251.327343434,40114507.509452246,126743.81789118797,395439.5778531711,매도,1.0110306099425908,False,1.0
2021-01-20,38708000.0,39931024.388787046,39981863.16078182,-50838.771994777024,305142.8575775694,매도,0.9598055989486474,False,1.0
2021-01-21,35298000.0,38995793.52886826,39548899.64268846,-553106.1138202026,131895.13509905795,매도,0.911904515862354,False,1.0
2021-01-22,36064000.0,38405076.097786196,39232573.79083802,-827497.6930518225,-61409.768968529206,매도,1.0217009462292481,False,1.0
2021-01-23,35293000.0,37778964.970476255,38880849.48487291,-1101884.5143966526,-270740.3879276676,매도,0.978621339840284,False,1.0
2021-01-24,35240000.0,37268762.6138727,38560663.87137424,-1291901.2575015426,-475941.59715514275,매도,0.9984982857790496,False,1.0
2021-01-25,37876000.0,37390670.646624446,38501276.394030415,-1110605.7474059686,-603355.7843951192,매도,1.0748013620885357,False,1.0
