time,open,high,low,close,volume,range,target,larry_profit_rate
2021-01-01,31596000.0,32588000.0,31552000.0,32235000.0,5116.19003758,828800.0,,1.0
2021-01-02,32235000.0,34675000.0,31765000.0,34364000.0,7210.47244494,2328000.0,33063800.0,1.0393239736509414
2021-01-03,34364000.0,39427000.0,33691000.0,38096000.0,18610.0383447,4588800.0,36692000.0,1.0382644718194702
2021-01-04,38069000.0,38399000.0,32100000.0,36632000.0,20613.87739156,5039200.0,42657800.0,1.0
2021-01-05,36649000.0,37400000.0,34265000.0,36512000.0,10671.14227777,2508000.0,41688200.0,1.0
2021-01-06,36514000.0,39798000.0,35890000.0,38188000.0,13038.66231775,3126400.0,39022000.0,0.978627440930757
2021-01-07,38193000.0,42983000.0,38131000.0,42700000.0,12665.33657389,3881600.0,41319400.0,1.033412876276035
2021-01-08,42700000.0,47836000.0,41540000.0,47449000.0,16447.67897901,5036800.0,46581600.0,1.0186210864375633
2021-01-09,47442000.0,47954000.0,45110000.0,46718000.0,10352.91714642,2275200.0,52478800.0,1.0
2021-01-10,46748000.0,47000000.0,43628000.0,44404000.0,9941.75503881,2697600.0,49023200.0,1.0
2021-01-11,44405000.0,44999000.0,36004000.0,37726000.0,27020.49399246,7196000.0,47102600.0,1.0
2021-01-12,37676000.0,40847000.0,34300000.0,37332000.0,19725.14528949,5237600.0,44872000.0,1.0
2021-01-13,37332000.0,39300000.0,36900000.0,38171000.0,9810.55928844,1920000.0,42569600.0,1.0
2021-01-14,38182000.0,43637000.0,38131000.0,43381000.0,11813.90887764,4404800.0,40102000.0,1.0817664954366366
2021-01-15,43381000.0,43898000.0,40415000.0,40682000.0,10069.46439854,2786400.0,47785800.0,1.0
2021-01-16,40657000.0,41848000.0,38500000.0,40690000.0,9232.21081427,2678400.0,43443400.0,1.0
2021-01-17,40713000.0,41300000.0,38044000.0,38723000.0,6593.75713699,2604800.0,43391400.0,1.0
2021-01-18,38720000.0,40948000.0,38700000.0,39889000.0,6549.38633137,1798400.0,41324800.0,1.0
